ID,Band0,Band1,Band2,Class
4913,50.0,21.0,17.0,1
4914,80.0,29.0,26.0,1
4915,82.0,28.0,26.0,1
4916,87.0,33.0,31.0,1
4917,81.0,30.0,27.0,1
4918,80.0,32.0,30.0,1
4919,78.0,33.0,30.0,1
4920,65.0,20.0,17.0,1
4921,65.0,20.0,17.0,1
4922,74.0,26.0,24.0,1
4923,85.0,34.0,33.0,1
4924,88.0,34.0,32.0,1
4925,86.0,28.0,27.0,1
4926,94.0,30.0,30.0,1
4927,115.0,47.0,46.0,1
4928,113.0,43.0,41.0,1
4929,101.0,31.0,29.0,1
4930,112.0,41.0,39.0,1
4931,108.0,38.0,36.0,1
4932,111.0,43.0,40.0,1
4933,102.0,37.0,35.0,1
4934,123.0,62.0,59.0,1
4935,111.0,53.0,51.0,1
4936,77.0,26.0,25.0,1
4937,51.0,5.0,5.0,1
4938,49.0,8.0,6.0,1
4939,62.0,22.0,20.0,1
4940,55.0,15.0,13.0,1
4941,46.0,6.0,4.0,1
4942,72.0,28.0,25.0,1
