ID,Band0,Band1,Band2,Class
5676,61.0,58.0,51.0,4
5677,26.0,23.0,18.0,4
5678,80.0,75.0,69.0,4
5679,77.0,70.0,62.0,4
5680,68.0,61.0,53.0,4
5681,70.0,65.0,59.0,4
5682,60.0,57.0,50.0,4
5683,68.0,67.0,62.0,4
5684,45.0,44.0,39.0,4
5685,34.0,33.0,29.0,4
5686,22.0,32.0,31.0,5
5687,17.0,27.0,26.0,5
5688,16.0,26.0,25.0,5
5689,18.0,30.0,28.0,5
5690,19.0,31.0,31.0,5
5691,19.0,31.0,31.0,5
5692,20.0,32.0,32.0,5
5693,20.0,30.0,31.0,5
5694,20.0,28.0,30.0,5
5695,24.0,32.0,34.0,5
5696,21.0,31.0,30.0,5
5697,16.0,25.0,24.0,5
5698,14.0,23.0,22.0,5
5699,17.0,26.0,25.0,5
5700,17.0,27.0,26.0,5
5701,17.0,27.0,28.0,5
5702,19.0,29.0,30.0,5
5703,21.0,31.0,30.0,5
5704,20.0,29.0,28.0,5
5705,20.0,26.0,26.0,5
5706,26.0,30.0,29.0,5
5707,26.0,30.0,29.0,5
5708,16.0,25.0,24.0,5
5709,16.0,25.0,24.0,5
5710,16.0,25.0,24.0,5
5711,22.0,31.0,30.0,5
5712,23.0,31.0,33.0,5
5713,25.0,34.0,33.0,5
5714,21.0,30.0,29.0,5
5715,18.0,24.0,24.0,5
5716,24.0,26.0,25.0,5
5717,29.0,31.0,30.0,5
5718,24.0,24.0,22.0,5
5719,18.0,24.0,24.0,5
5720,21.0,27.0,27.0,5
5721,21.0,26.0,29.0,5
5722,17.0,22.0,25.0,5
5723,21.0,27.0,27.0,5
5724,21.0,27.0,27.0,5
5725,20.0,26.0,26.0,5
5726,24.0,28.0,27.0,5
5727,19.0,21.0,20.0,5
5728,24.0,24.0,24.0,5
5729,20.0,19.0,17.0,5
5730,18.0,27.0,26.0,5
5731,15.0,21.0,21.0,5
5732,17.0,22.0,25.0,5
5733,15.0,21.0,21.0,5
5734,25.0,31.0,31.0,5
5735,20.0,26.0,26.0,5
5736,18.0,22.0,21.0,5
5737,19.0,21.0,20.0,5
5738,25.0,27.0,26.0,5
5739,21.0,21.0,21.0,5
5740,25.0,23.0,24.0,5
5741,14.0,23.0,22.0,5
5742,16.0,25.0,24.0,5
5743,19.0,25.0,25.0,5
5744,17.0,23.0,23.0,5
5745,24.0,28.0,29.0,5
5746,21.0,25.0,24.0,5
5747,23.0,25.0,24.0,5
5748,19.0,21.0,20.0,5
5749,21.0,22.0,24.0,5
5750,22.0,22.0,22.0,5
5751,23.0,21.0,22.0,5
5752,18.0,27.0,26.0,5
5753,13.0,22.0,21.0,5
5754,19.0,25.0,25.0,5
5755,19.0,25.0,25.0,5
5756,24.0,28.0,27.0,5
5757,20.0,24.0,23.0,5
5758,20.0,22.0,21.0,5
5759,21.0,23.0,22.0,5
5760,21.0,22.0,24.0,5
5761,20.0,21.0,23.0,5
5762,22.0,22.0,22.0,5
5763,11.0,20.0,19.0,5
5764,16.0,25.0,24.0,5
5765,18.0,24.0,22.0,5
5766,21.0,27.0,25.0,5
5767,23.0,27.0,28.0,5
5768,18.0,22.0,23.0,5
5769,20.0,24.0,23.0,5
5770,16.0,20.0,19.0,5
5771,19.0,21.0,20.0,5
5772,23.0,25.0,24.0,5
5773,20.0,20.0,20.0,5
